date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso
2023-03-09,209451,7896,0,0,0,0,2023-03-10 04:21:03,201555,0,0.0377,AFG
2023-03-09,334457,3598,0,14,0,0,2023-03-10 04:21:03,330859,14,0.0108,ALB
2023-03-09,271496,6881,0,2,0,0,2023-03-10 04:21:03,264615,2,0.0253,DZA
2023-03-09,47890,165,0,0,0,0,2023-03-10 04:21:03,47725,0,0.0034,AND
2023-03-09,105288,1933,0,0,0,0,2023-03-10 04:21:03,103355,0,0.0184,AGO
2023-03-09,9106,146,0,0,0,0,2023-03-10 04:21:03,8960,0,0.016,ATG
2023-03-09,10044957,130472,0,0,0,0,2023-03-10 04:21:03,9914485,0,0.013,ARG
2023-03-09,447308,8727,0,0,0,0,2023-03-10 04:21:03,438581,0,0.0195,ARM
2023-03-09,232974,228,0,355,0,0,2023-03-10 04:21:03,232746,355,0.001,AUS
2023-03-09,3915992,6529,0,7863,36,0,2023-03-10 04:21:03,3909463,7827,0.0017,AUS
2023-03-09,105111,91,0,90,1,0,2023-03-10 04:21:03,105020,89,0.0009,AUS
2023-03-09,1800236,2783,0,0,0,0,2023-03-10 04:21:03,1797453,0,0.0015,AUS
2023-03-09,883620,1365,0,1709,43,0,2023-03-10 04:21:03,882255,1666,0.0015,AUS
2023-03-09,287507,256,0,610,3,0,2023-03-10 04:21:03,287251,607,0.0009,AUS
2023-03-09,2880559,7370,0,3299,32,0,2023-03-10 04:21:03,2873189,3267,0.0026,AUS
2023-03-09,1293461,952,0,0,0,0,2023-03-10 04:21:03,1292509,0,0.0007,AUS
2023-03-09,5961143,21970,0,5283,21,0,2023-03-10 04:21:03,5939173,5262,0.0037,AUT
2023-03-09,828825,10138,0,6,0,0,2023-03-10 04:21:03,818687,6,0.0122,AZE
2023-03-09,37491,833,0,0,0,0,2023-03-10 04:21:03,36658,0,0.0222,BHS
2023-03-09,710693,1553,0,387,0,0,2023-03-10 04:21:03,709140,387,0.0022,BHR
2023-03-09,2037871,29445,0,0,0,0,2023-03-10 04:21:03,2008426,0,0.0144,BGD
2023-03-09,106798,579,0,153,4,0,2023-03-10 04:21:03,106219,149,0.0054,BRB
2023-03-09,994037,7118,0,0,0,0,2023-03-10 04:21:03,986919,0,0.0072,BLR
2023-03-09,766206,0,0,1935,0,0,2023-03-10 04:21:03,766206,1935,0.0,BEL
2023-03-09,505467,0,0,544,0,0,2023-03-10 04:21:03,505467,544,0.0,BEL
2023-03-09,645338,0,0,2250,0,0,2023-03-10 04:21:03,645338,2250,0.0,BEL
2023-03-09,464722,0,0,1252,0,0,2023-03-10 04:21:03,464722,1252,0.0,BEL
2023-03-09,519111,0,0,864,0,0,2023-03-10 04:21:03,519111,864,0.0,BEL
2023-03-09,419029,0,0,685,0,0,2023-03-10 04:21:03,419029,685,0.0,BEL
2023-03-09,351474,0,0,1087,0,0,2023-03-10 04:21:03,351474,1087,0.0,BEL
2023-03-09,122942,0,0,185,0,0,2023-03-10 04:21:03,122942,185,0.0,BEL
2023-03-09,202905,0,0,387,0,0,2023-03-10 04:21:03,202905,387,0.0,BEL
2023-03-09,63364,33814,0,90,39,0,2023-03-10 04:21:03,29550,51,0.5336,BEL
2023-03-09,173827,0,0,242,0,0,2023-03-10 04:21:03,173827,242,0.0,BEL
2023-03-09,504980,0,0,2049,0,0,2023-03-10 04:21:03,504980,2049,0.0,BEL
2023-03-09,70757,688,0,0,0,0,2023-03-10 04:21:03,70069,0,0.0097,BLZ
2023-03-09,27999,163,0,0,0,0,2023-03-10 04:21:03,27836,0,0.0058,BEN
2023-03-09,62627,21,0,0,0,0,2023-03-10 04:21:03,62606,0,0.0003,BTN
2023-03-09,1194277,22365,0,90,0,0,2023-03-10 04:21:03,1171912,90,0.0187,BOL
2023-03-09,401729,16280,0,0,0,0,2023-03-10 04:21:03,385449,0,0.0405,BIH
2023-03-09,329758,2801,0,0,0,0,2023-03-10 04:21:03,326957,0,0.0085,BWA
2023-03-09,160433,2043,0,0,0,0,2023-03-10 04:21:03,158390,0,0.0127,BRA
2023-03-09,337535,7242,0,0,0,0,2023-03-10 04:21:03,330293,0,0.0215,BRA
2023-03-09,185668,2167,0,0,0,0,2023-03-10 04:21:03,183501,0,0.0117,BRA
2023-03-09,631976,14443,0,0,0,0,2023-03-10 04:21:03,617533,0,0.0229,BRA
2023-03-09,1792572,31459,0,0,0,0,2023-03-10 04:21:03,1761113,0,0.0175,BRA
2023-03-09,1453572,28157,0,0,0,0,2023-03-10 04:21:03,1425415,0,0.0194,BRA
2023-03-09,897897,11844,0,0,0,0,2023-03-10 04:21:03,886053,0,0.0132,BRA
2023-03-09,1323318,15041,0,0,0,0,2023-03-10 04:21:03,1308277,0,0.0114,BRA
2023-03-09,1898605,28036,0,0,0,0,2023-03-10 04:21:03,1870569,0,0.0148,BRA
2023-03-09,493391,11053,0,0,0,0,2023-03-10 04:21:03,482338,0,0.0224,BRA
2023-03-09,878360,15087,0,0,0,0,2023-03-10 04:21:03,863273,0,0.0172,BRA
2023-03-09,607356,11010,0,0,0,0,2023-03-10 04:21:03,596346,0,0.0181,BRA
2023-03-09,4189760,65507,0,0,0,0,2023-03-10 04:21:03,4124253,0,0.0156,BRA
2023-03-09,871612,19021,0,0,0,0,2023-03-10 04:21:03,852591,0,0.0218,BRA
2023-03-09,707743,10542,0,0,0,0,2023-03-10 04:21:03,697201,0,0.0149,BRA
2023-03-09,2918459,46018,0,0,0,0,2023-03-10 04:21:03,2872441,0,0.0158,BRA
2023-03-09,1156640,22686,0,0,0,0,2023-03-10 04:21:03,1133954,0,0.0196,BRA
2023-03-09,424866,8354,0,0,0,0,2023-03-10 04:21:03,416512,0,0.0197,BRA
2023-03-09,585935,8715,0,0,0,0,2023-03-10 04:21:03,577220,0,0.0149,BRA
2023-03-09,2961756,41919,0,0,0,0,2023-03-10 04:21:03,2919837,0,0.0142,BRA
2023-03-09,2752662,76844,0,0,0,0,2023-03-10 04:21:03,2675818,0,0.0279,BRA
2023-03-09,482910,7432,0,0,0,0,2023-03-10 04:21:03,475478,0,0.0154,BRA
2023-03-09,182485,2180,0,0,0,0,2023-03-10 04:21:03,180305,0,0.0119,BRA
2023-03-09,1985888,22703,0,0,0,0,2023-03-10 04:21:03,1963185,0,0.0114,BRA
2023-03-09,6469442,179039,0,0,0,0,2023-03-10 04:21:03,6290403,0,0.0277,BRA
2023-03-09,359674,6502,0,0,0,0,2023-03-10 04:21:03,353172,0,0.0181,BRA
2023-03-09,365538,4232,0,0,0,0,2023-03-10 04:21:03,361306,0,0.0116,BRA
2023-03-09,279661,225,0,0,0,0,2023-03-10 04:21:03,279436,0,0.0008,BRN
2023-03-09,1297523,38228,0,72,3,0,2023-03-10 04:21:03,1259295,69,0.0295,BGR
2023-03-09,22056,396,0,0,0,0,2023-03-10 04:21:03,21660,0,0.018,BFA
2023-03-09,633950,19490,0,1,0,0,2023-03-10 04:21:03,614460,1,0.0307,MMR
2023-03-09,53631,38,0,0,0,0,2023-03-10 04:21:03,53593,0,0.0007,BDI
2023-03-09,63244,413,0,0,0,0,2023-03-10 04:21:03,62831,0,0.0065,CPV
2023-03-09,138719,3056,0,0,0,0,2023-03-10 04:21:03,135663,0,0.022,KHM
2023-03-09,124392,1965,0,0,0,0,2023-03-10 04:21:03,122427,0,0.0158,CMR
2023-03-09,629269,5622,0,0,0,0,2023-03-10 04:21:03,623647,0,0.0089,CAN
2023-03-09,396817,5249,0,345,31,0,2023-03-10 04:21:03,391568,314,0.0132,CAN
2023-03-09,0,1,0,0,0,0,2020-12-21 13:27:30,-1,0,0.0,CAN
2023-03-09,13,0,0,0,0,0,2020-12-21 13:27:30,13,0,0.0,CAN
2023-03-09,154712,2464,0,0,0,0,2023-03-10 04:21:03,152248,0,0.0159,CAN
2023-03-09,88866,834,0,0,0,0,2023-03-10 04:21:03,88032,0,0.0094,CAN
2023-03-09,54757,318,0,0,0,0,2023-03-10 04:21:03,54439,0,0.0058,CAN
2023-03-09,11511,22,0,0,0,0,2023-03-10 04:21:03,11489,0,0.0019,CAN
2023-03-09,140793,794,0,0,0,0,2023-03-10 04:21:03,139999,0,0.0056,CAN
2023-03-09,3531,7,0,0,0,0,2023-03-10 04:21:03,3524,0,0.002,CAN
2023-03-09,1601325,16234,0,3250,48,0,2023-03-10 04:21:03,1585091,3202,0.0101,CAN
2023-03-09,56523,93,0,0,0,0,2023-03-10 04:21:03,56430,0,0.0016,CAN
2023-03-09,1320325,18160,0,446,7,0,2023-03-10 04:21:03,1302165,439,0.0138,CAN
2023-03-09,13,0,0,0,0,0,2023-03-10 04:21:03,13,0,0.0,CAN
2023-03-09,153651,1890,0,0,0,0,2023-03-10 04:21:03,151761,0,0.0123,CAN
2023-03-09,4989,32,0,0,0,0,2023-03-10 04:21:03,4957,0,0.0064,CAN
2023-03-09,15368,113,0,0,0,0,2023-03-10 04:21:03,15255,0,0.0074,CAF
2023-03-09,7679,194,0,0,0,0,2023-03-10 04:21:03,7485,0,0.0253,TCD
2023-03-09,183811,1961,0,168,1,0,2023-03-10 04:21:03,181850,167,0.0107,CHL
2023-03-09,293632,2922,0,184,1,0,2023-03-10 04:21:03,290710,183,0.01,CHL
2023-03-09,79718,900,0,22,0,0,2023-03-10 04:21:03,78818,22,0.0113,CHL
2023-03-09,116955,718,0,104,0,0,2023-03-10 04:21:03,116237,104,0.0061,CHL
2023-03-09,36352,222,0,22,0,0,2023-03-10 04:21:03,36130,22,0.0061,CHL
2023-03-09,510730,4824,0,305,2,0,2023-03-10 04:21:03,505906,303,0.0094,CHL
2023-03-09,211158,1951,0,133,1,0,2023-03-10 04:21:03,209207,132,0.0092,CHL
2023-03-09,243060,2577,0,161,2,0,2023-03-10 04:21:03,240483,159,0.0106,CHL
2023-03-09,148252,1411,0,113,1,0,2023-03-10 04:21:03,146841,112,0.0095,CHL
2023-03-09,67653,774,0,39,0,0,2023-03-10 04:21:03,66879,39,0.0114,CHL
